name,type,latitude,longitude
Curley Upper (6-8),public_school,42.318508664013486,-71.11295060572958
Manning Elementary,public_school,42.30558866071171,-71.13149061131936
Bates Elementary,public_school,42.27776865530497,-71.13533061089309
Mozart Elementary,public_school,42.28122865613063,-71.1410506131549
Kilmer Upper (4-8),public_school,42.29266065748692,-71.15236761751912
Beethoven Elementary,public_school,42.26343865151384,-71.15613061695596
Kilmer Lower (K1-3),public_school,42.2718858195067,-71.16257012581823
Urban Science Academy,public_school,42.2822686545933,-71.17434062433898
Lyndon K-8,public_school,42.28299865562324,-71.1583706186444
Edison K-8,public_school,42.34558866764169,-71.16019062322468
Lyon K-8,public_school,42.35107866816015,-71.16150062402028
"Lyon, Mary 9-12",public_school,42.35212866822168,-71.1607606239944
Winship Elementary,public_school,42.34760170340035,-71.15534859955117
Another Course to College,public_school,42.350572778131486,-71.14528666271973
Brighton High,public_school,42.349088668242835,-71.14549061813761
Baldwin ELPA,public_school,42.3420386676444,-71.14051061675721
Horace Mann,public_school,42.352058669309685,-71.13770061636266
Jackson/Mann K-8,public_school,42.352058669309685,-71.13770061636266
New Mission High,public_school,42.26321706364385,-71.11772383064972
Gardner Elementary,public_school,42.360768671499464,-71.13411061572548
Ohrenberger Elementary,public_school,42.26075865172772,-71.14961061446101
Everett Elementary,public_school,42.31368761201168,-71.05976976006767
P.A. Shaw,public_school,42.28212094465278,-71.08684032525326
Greenwood Sarah K-8,public_school,42.29656011318189,-71.08066201707948
Burke High,public_school,42.3068187606906,-71.08162523596035
Dever Elementary,public_school,42.317628665950245,-71.04274058288499
McCormack Middle,public_school,42.318028665558856,-71.04350058306014
Condon Elementary,public_school,42.338025893716036,-71.05215122145272
Roosevelt K-8 (K1-1),public_school,42.23389864741276,-71.13288060787326
Bradley Elementary,public_school,42.39161617989621,-71.00504507541832
Hennigan K-8,public_school,42.3256221228247,-71.10691068997163
Ellison/ Parks ELC,public_school,42.27178865514667,-71.09189059664185
Greater Egleston High,public_school,42.314128663116065,-71.0992906018109
TechBoston Acad Lower (6-9),public_school,42.28779215410131,-71.07679145463584
Mission Hill K-8,public_school,42.30703515349671,-71.11386744117334
Margarita Muniz Academy,public_school,42.30720829304821,-71.11448218494337
Dudley Street Neighborhood Charter School,public_school,42.32192747288894,-71.0733736622811
Kennedy Health Careers Academy,public_school,42.3339314261802,-71.1065636650741
Community Leadership Academy,public_school,42.263227897008406,-71.11788606540482
Eliot K-8,public_school,42.36833522594887,-71.05717617021216
Higginson Elementary,public_school,42.31766018904393,-71.09202957064066
Alighieri Montessori,public_school,42.371568436428355,-71.0379400823357
Boston Adult Tech Acad,public_school,42.34876971019514,-71.0681495356504
Dorchester Academy,public_school,42.30082133096723,-71.06182116205184
Boston Green Academy,public_school,42.35044072503588,-71.14596105824006
Dearborn Middle School,public_school,42.307395168089386,-71.08080770579843
Roxbury Prep - Mission Hill,nonpublic_school,42.32767574478358,-71.10514315383564
Helen Davis Leadership Academy Charter Public School,nonpublic_school,42.301402641896985,-71.0587171011184
British School of Boston,nonpublic_school,42.306592993626374,-71.13015021140613
